Mun_analises22_id,Numero_de_Vendas_para_o_Exterior,Valor_total_das_Exportacoes,Valor_medio_das_Exportacoes
Imbituva,256,"$69,710,144","$272,305"
Cachoeiro de Itapemirim,768,"$264,992,328","$345,042"
Estância Velha,768,"$66,004,456","$85,943"
Montes Claros,768,"$212,354,580","$276,503"
Alegre,1,$116,$116
Alfredo Wagner,1,"$49,563","$49,563"
Alpercata,1,"$38,319","$38,319"
Antônio Gonçalves,1,$0,$0
Araruama,1,$949,$949
Arataca,1,"$1,920","$1,920"
Armazém,1,"$10,973","$10,973"
Arraial do Cabo,1,"$2,145","$2,145"
Belterra,1,"$28,053","$28,053"
Bom Conselho,1,"$101,371","$101,371"
Bom Jardim de Minas,1,"$5,386","$5,386"
Bom Jesus do Amparo,1,$58,$58
Bom Sucesso,1,"$37,000","$37,000"
Bonfinópolis de Minas,1,"$178,435","$178,435"
Borda da Mata,1,"$16,317","$16,317"
Borebi,1,"$7,684","$7,684"
Botuverá,1,"$52,979","$52,979"
Brejo Alegre,1,"$46,122","$46,122"
Cajazeiras,1,$46,$46
Calçoene,1,$270,$270
Cambuci,1,$890,$890
Campina Verde,1,"$824,995","$824,995"
Campina da Lagoa,1,"$189,821","$189,821"
Campo Alegre de Lourdes,1,$1,$1
Campos Verdes,1,"$1,017","$1,017"
Canudos,1,"$15,184","$15,184"
Capelinha,1,"$59,700","$59,700"
Capão Bonito,1,"$9,625","$9,625"
Capão da Canoa,1,"$7,300","$7,300"
Cardoso Moreira,1,"$1,007","$1,007"
Cariré,1,"$187,306","$187,306"
Carmo do Rio Claro,1,"$2,375,206","$2,375,206"
Caturama,1,"$116,071","$116,071"
Chapada Gaúcha,1,"$50,000","$50,000"
Coari,1,"$13,802","$13,802"
Comendador Gomes,1,"$64,088","$64,088"
Conceição das Pedras,1,"$3,000","$3,000"
Conceição de Macabu,1,"$1,164","$1,164"
Conceição do Araguaia,1,"$7,000","$7,000"
Congonhinhas,1,"$6,896","$6,896"
Coroados,1,"$2,432","$2,432"
Corumbataí,1,"$217,759","$217,759"
Cruzília,1,"$41,971","$41,971"
Curaçá,1,"$56,970","$56,970"
Curralinho,1,"$112,870","$112,870"
Córrego Fundo,1,"$83,871","$83,871"
Divinolândia de Minas,1,"$1,832","$1,832"
Dom Joaquim,1,"$30,324","$30,324"
Dona Eusébia,1,"$5,739","$5,739"
Dona Inês,1,$370,$370
Engenheiro Beltrão,1,"$1,983","$1,983"
Equador,1,"$8,835","$8,835"
Erebango,1,"$31,300","$31,300"
Ermo,1,"$402,518","$402,518"
Espigão Alto do Iguaçu,1,"$35,396","$35,396"
Espírito Santo do Dourado,1,"$39,950","$39,950"
Felipe Guerra,1,"$26,728","$26,728"
Floresta Azul,1,"$26,676","$26,676"
Floriano,1,$55,$55
Fortaleza de Minas,1,"$1,600,000","$1,600,000"
Francisco Alves,1,"$2,324","$2,324"
Geminiano,1,"$282,740","$282,740"
Goioerê,1,"$453,402","$453,402"
Governador Celso Ramos,1,"$1,368","$1,368"
Governador Jorge Teixeira,1,"$1,440","$1,440"
Gravatá,1,"$14,981","$14,981"
Grossos,1,$641,$641
Guapó,1,"$1,082","$1,082"
Guarani das Missões,1,"$99,792","$99,792"
Guaraniaçu,1,"$14,818","$14,818"
Ibiam,1,"$3,440","$3,440"
Ibicoara,1,"$47,899","$47,899"
Ibimirim,1,"$60,593","$60,593"
Ibiá,1,"$54,000","$54,000"
Igaratinga,1,"$12,095","$12,095"
Igrapiúna,1,$81,$81
Ijaci,1,"$3,538","$3,538"
Ilicínea,1,"$116,000","$116,000"
Imbé de Minas,1,"$1,325","$1,325"
Indiara,1,"$8,455,255","$8,455,255"
Inhapim,1,"$5,010","$5,010"
Inácio Martins,1,"$10,344","$10,344"
Ipanema,1,"$1,763","$1,763"
Iracema do Oeste,1,"$1,735","$1,735"
Iraí de Minas,1,$91,$91
Irupi,1,"$183,864","$183,864"
Itabaiana,1,"$82,041","$82,041"
Itamarandiba,1,"$1,808","$1,808"
Itanhomi,1,"$1,322","$1,322"
Itaporanga d'Ajuda,1,"$2,013","$2,013"
Itapuranga,1,"$1,034","$1,034"
Itaúba,1,"$1,004,503","$1,004,503"
Itutinga,1,"$6,466","$6,466"
Jaborá,1,"$19,798","$19,798"
Jaboticatubas,1,$602,$602
Jacundá,1,"$1,300","$1,300"
Januária,1,"$8,888","$8,888"
Jaqueira,1,"$2,131","$2,131"
Jaquirana,1,"$39,721","$39,721"
Jaupaci,1,"$25,465","$25,465"
Jesuânia,1,"$5,065","$5,065"
Ladainha,1,$993,$993
Lajes,1,"$48,249","$48,249"
Lavras do Sul,1,"$2,553","$2,553"
Lençóis,1,"$7,524","$7,524"
Leopoldo de Bulhões,1,$95,$95
Lupionópolis,1,"$13,088","$13,088"
Mangaratiba,1,$10,$10
Manoel Ribas,1,$366,$366
Mata,1,"$552,069","$552,069"
Medeiros Neto,1,"$22,854","$22,854"
Ministro Andreazza,1,"$371,107","$371,107"
Missal,1,"$1,079","$1,079"
Modelo,1,"$10,517","$10,517"
Mombaça,1,"$15,236","$15,236"
Morada Nova de Minas,1,"$5,213","$5,213"
Morro Agudo de Goiás,1,$979,$979
Mossâmedes,1,$10,$10
Motuca,1,"$18,023","$18,023"
Muaná,1,"$62,640","$62,640"
Nova Aliança,1,"$5,576","$5,576"
Nova Marilândia,1,"$1,146","$1,146"
Nova Pádua,1,"$8,234","$8,234"
Nova União,1,"$6,124","$6,124"
Ocara,1,"$2,331,527","$2,331,527"
Olhos-d'Água,1,$10,$10
Olindina,1,"$1,879","$1,879"
Oriente,1,"$1,158","$1,158"
Ouriçangas,1,$25,$25
Pacajá,1,"$29,542","$29,542"
Padre Paraíso,1,"$2,000","$2,000"
Paranaiguara,1,$990,$990
Paranapanema,1,"$78,574","$78,574"
Passa Quatro,1,"$30,644","$30,644"
Passa Tempo,1,"$13,417","$13,417"
Peabiru,1,"$8,327","$8,327"
Pedra Branca,1,$90,$90
Pedras de Fogo,1,"$2,156,126","$2,156,126"
Piatã,1,$374,$374
Piracanjuba,1,"$40,408","$40,408"
Piratuba,1,"$1,099","$1,099"
Pitanga,1,"$1,186","$1,186"
Planura,1,"$131,190","$131,190"
Poloni,1,"$23,300","$23,300"
Pombos,1,"$8,250","$8,250"
Pontal do Paraná,1,$11,$11
Ponte Preta,1,"$7,160","$7,160"
Porciúncula,1,$575,$575
Prado,1,"$79,541","$79,541"
Presidente Castelo Branco,1,"$33,914","$33,914"
Protásio Alves,1,"$24,500","$24,500"
Puxinanã,1,"$1,351","$1,351"
Quinta do Sol,1,"$251,199","$251,199"
Quixabeira,1,$126,$126
Quixadá,1,"$1,871","$1,871"
Ribeirópolis,1,"$142,713","$142,713"
Rio Formoso,1,"$1,011,940","$1,011,940"
Rio Fortuna,1,"$1,869","$1,869"
Riqueza,1,$308,$308
Salesópolis,1,$892,$892
Salgadinho,1,$58,$58
Salinas da Margarida,1,"$200,000","$200,000"
Salto do Lontra,1,"$7,905","$7,905"
Santa Cruz Cabrália,1,"$6,500","$6,500"
Santa Maria das Barreiras,1,"$1,566","$1,566"
Santa Rita do Novo Destino,1,$136,$136
Santa Terezinha de Goiás,1,"$1,123","$1,123"
Santa Vitória do Palmar,1,"$14,150","$14,150"
Santana do Manhuaçu,1,"$4,613","$4,613"
Santo Antônio de Goiás,1,$6,$6
Santo Antônio do Paraíso,1,"$74,747","$74,747"
Seabra,1,"$7,587","$7,587"
Senador Guiomard,1,"$3,340","$3,340"
Senador José Bento,1,"$90,650","$90,650"
Senador Modestino Gonçalves,1,"$9,291","$9,291"
Senhor do Bonfim,1,"$6,062","$6,062"
Sentinela do Sul,1,"$57,751","$57,751"
Serra Negra do Norte,1,"$272,800","$272,800"
Serra do Mel,1,"$17,769","$17,769"
Serra do Salitre,1,$1,$1
Serrinha,1,"$1,578","$1,578"
Setubinha,1,"$34,194","$34,194"
Surubim,1,"$1,393","$1,393"
São Bento do Sapucaí,1,"$1,400","$1,400"
São Domingos do Prata,1,"$12,191","$12,191"
São Jerônimo da Serra,1,"$39,638","$39,638"
São José da Safira,1,"$5,874","$5,874"
São José do Herval,1,"$12,328","$12,328"
São João do Ivaí,1,"$297,920","$297,920"
São Mateus do Maranhão,1,"$1,610","$1,610"
São Miguel do Gostoso,1,"$16,013","$16,013"
São Pedro da Água Branca,1,$21,$21
São Pedro dos Ferros,1,$38,$38
São Sebastião da Lagoa de Roça,1,"$60,623","$60,623"
São Sepé,1,"$1,270,416","$1,270,416"
São Vicente Ferrer,1,$0,$0
Tacaratu,1,"$42,572","$42,572"
Tamandaré,1,$60,$60
Taquarivaí,1,"$46,000","$46,000"
Tarumirim,1,$998,$998
Terra de Areia,1,"$9,686","$9,686"
Tigrinhos,1,"$261,500","$261,500"
Timbaúba,1,"$597,191","$597,191"
Trabiju,1,"$94,202","$94,202"
Tramandaí,1,$203,$203
Três Arroios,1,"$3,496","$3,496"
Tucuruí,1,"$35,026","$35,026"
Tunas do Paraná,1,"$13,987","$13,987"
Tupanciretã,1,"$22,500","$22,500"
União do Oeste,1,"$13,400","$13,400"
Varre-Sai,1,"$21,480","$21,480"
Viradouro,1,"$67,280","$67,280"
Xangri-lá,1,$118,$118
Água Branca,1,"$1,781","$1,781"
Água Fria de Goiás,1,"$9,087","$9,087"
Itupeva,2817,"$164,850,037","$58,520"
Itu,3841,"$276,419,230","$71,965"
Acari,2,"$230,230","$115,115"
Altamira,2,"$46,147","$23,074"
Alto Alegre,2,"$33,415","$16,708"
Alto Paraíso,2,"$76,138","$38,069"
Alto Piquiri,2,"$4,211,833","$2,105,916"
Altos,2,"$591,625","$295,812"
