Destinos22_id,Destinos22
Unidos,"7,761097341"
Estados,"7,03059615"
Paraguai,"6,60841032"
Uruguai,"4,832151709"
Chile,"4,513374751"
Colômbia,"3,728151355"
Peru,"3,154674725"
México,"2,979241776"
Panamá,"2,800589873"
Ilhas,"2,451836413"
Marshall,"2,211219661"
Equador,"2,153580281"
Libéria,"2,067875652"
China,"1,991123737"
do,"1,720228707"
Hong,"1,685121998"
Kong,"1,685121998"
Sul,"1,594387755"
Singapura,"1,564210069"
Unido,"1,527594476"
Reino,"1,527594476"
Portugal,"1,491079476"
França,"1,45607336"
Itália,"1,32721464"
Baixos,"1,220989184"
Holanda,"1,220989184"
Países,"1,220989184"
República,"1,190509721"
Costa,"1,169385341"
Japão,"1,098367186"
Malta,"1,088810919"
Espanha,"1,0655741"
Rica,"1,046260381"
Índia,"1,029863838"
Guatemala,"1,025638962"
África,"1,008337089"
Dominicana,"0,9991831906"
Grécia,"0,9662895127"
Canadá,"0,9588456834"
Chipre,"0,8308922938"
Venezuela,"0,7575605163"
Noruega,"0,7508208331"
Árabes,"0,730501191"
Emirados,"0,730501191"
Tailândia,"0,6308142342"
Guiana,"0,5994294405"
Coreia,"0,5835358591"
Turquia,"0,5705594541"
Honduras,"0,5501392197"
El,"0,5212692332"
Salvador,"0,5212692332"
Dinamarca,"0,5058786133"
Vietnã,"0,4211799073"
Argentina,"0,4008602652"
Nicarágua,"0,3891915599"
Suíça,"0,369978433"
Malásia,"0,3681677718"
Indonésia,"0,3609251271"
Filipinas,"0,3507653061"
Taiwan,"0,3351735016"
Formosa,"0,3351735016"
Egito,"0,302782785"
Polônia,"0,3005697547"
Israel,"0,2948359943"
Rússia,"0,2776347132"
Suécia,"0,2405161591"
Bolívia,"0,2180840791"
Nova,"0,2169775639"
Rico,"0,2140603876"
Porto,"0,2140603876"
Francesa,"0,2121491341"
Catar,"0,1996756905"
Cayman,"0,1948472607"
Tobago,"0,1924330458"
Trinidad,"0,1924330458"
Zelândia,"0,1794566407"
Gana,"0,177444795"
Suriname,"0,1773442027"
São,"0,1572257452"
Marrocos,"0,1510896157"
Paquistão,"0,1443499324"
Cuba,"0,1435451941"
Nigéria,"0,1426398635"
Irlanda,"0,1415333484"
Congo,"0,1394209103"
Jamaica,"0,1356989957"
Jordânia,"0,1354978111"
Líbano,"0,1349948497"
Moçambique,"0,1326812271"
Marfim,"0,1231249598"
Granadinas,"0,11829653"
Vicente,"0,11829653"
Coveite,"0,1174917917"
